C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
BANP,0.849590396,-0.095268115,HMG20B,0.673249088,0.048503138,KCNMA1,0.85524738,-23.503916,WNT10A,0.854891723,-1.3116742,FHOD1,0.586449465,-1.1166086,PRDM10,0.941797823,-22.511864,CFAP126,0.943760096,-22.581537,ANKRD26,0.713232634,0.36328903,ZSCAN2,0.476148259,1.9506173
POU5F2,0.849542219,-0.49692777,SMCR8,0.673224319,-1.6393561,CDC6,0.85524738,-22.723213,FEZ2,0.854843698,-0.017722022,HDAC7,0.586401518,-0.37796757,METTL7B,0.941797823,-22.263828,DYNLRB2,0.943760096,-22.448631,KIF20A,0.713815262,2.3500054,RPUSD2,0.476251896,0.7747649
WDSUB1,0.849373604,-0.20582315,TMEM189,0.673187165,-0.005993233,MARVELD1,0.85524738,-23.458208,CENPJ,0.85482769,-1.2102238,GLB1,0.586369554,-0.30429912,EHD3,0.941797823,-22.542934,LYNX1,0.943760096,-22.331617,LHFPL2,0.713898508,2.4843767,BAIAP2,0.476459208,2.0132363
IMPDH2,0.849132737,0.0444649,THBS2,0.673150012,-1.5621991,DCUN1D3,0.85524738,-23.46189,GIMAP5,0.854795674,-0.11364316,UQCRHL,0.586018009,-1.5310794,BSPRY,0.941797823,-22.115961,UGGT2,0.943760096,-22.283106,MMP15,0.713940133,2.4547312,IFT122,0.476511044,2.1312926
AKAP8L,0.849072522,-0.04881641,AFAP1,0.673026175,-1.6791803,ZC4H2,0.85524738,-23.291092,FUNDC1,0.854667613,-0.10646946,CENPF,0.586002032,-1.1628463,FAM166B,0.941797823,-21.813314,IQGAP3,0.943760096,-22.226143,FPR1,0.713981758,2.413789,AEN,0.476536963,0.07725368
TIGAR,0.848795546,-0.14462474,PAN3,0.672815672,-0.124603346,RTKN,0.85524738,-23.504837,PYROXD2,0.854539556,-1.2768558,SEC22A,0.585954102,-0.8447405,POLQ,0.941797823,-21.284231,TTC30B,0.943760096,-22.267832,YOD1,0.714085825,1.2514096,RNF169,0.476614725,0.8768414
MAPK7,0.84875942,-0.2919047,FAM102A,0.672778527,0.017212722,ZNF837,0.85524738,-23.371012,SMCO4,0.854427509,-0.1027266,ANKFY1,0.585938126,-0.96295303,TXNRD3,0.941797823,-22.564392,DUSP19,0.943760096,-22.22443,PLPP3,0.714127453,1.2857839,RSPH3,0.476770269,1.6966398
NKRF,0.848711253,-0.29927263,HM13,0.672753765,0.04548022,KLK5,0.85524738,-23.492992,RPIA,0.854395496,-0.04435037,ACSL4,0.585874223,-1.2341781,AK3,0.941797823,0.003770887,SLC24A1,0.943760096,-22.438679,SPATA7,0.714189897,2.225991,SERAC1,0.476822123,1.642457
TCEAL4,0.848602879,-0.032673474,ABCF3,0.672667098,-0.18312836,CYP27A1,0.85524738,-23.19965,RING1,0.854107391,0.0245034,MICA,0.585778375,-1.226992,RNFT2,0.941797823,-22.36152,CUEDC1,0.943760096,-22.296766,MED26,0.714210712,0.98044544,FMOD,0.476822123,1.5067928
CYP27A1,0.848494507,-1.3412411,WDR43,0.672506156,-0.12844083,DYNC2LI1,0.855232476,-0.78064805,ZNF32,0.854011361,-0.109421656,SLC39A13,0.585602672,-1.7075616,SRPX2,0.941797823,-22.522928,SERF1A,0.943760096,-22.64477,RNF185,0.714273158,0.28318262,ZNF792,0.476822123,1.3551238
CDC45,0.848470425,-1.454087,CEP85L,0.672456639,-0.034516905,MSTO1,0.855202668,-0.5531166,TMBIM1,0.853915332,-0.008815464,DDA1,0.585554757,-0.056908056,PTPRD,0.941797823,-22.455723,SOWAHC,0.943760096,-22.231031,CDA,0.714273158,2.281755,CPEB4,0.477185189,0.23804688
E2F2,0.848470425,-1.3384782,WIPI1,0.672419502,-0.27978042,C2CD2L,0.855143053,-0.7150487,SF3A3,0.853899328,0.012326337,HCFC1,0.585538786,-0.4573398,KATNAL2,0.941797823,-22.450186,HSD17B6,0.943760096,-21.919962,ME1,0.714273158,2.1138332,HPS6,0.477392723,0.5092723
BCKDHA,0.848422261,-2.1003668,RBM4B,0.672357608,-0.23216437,F8A1,0.855143053,-0.74632704,C2CD3,0.853819306,-0.439952,RXRA,0.585506844,-1.9166586,PLPP4,0.941797823,-22.535963,EHHADH,0.943760096,-22.486784,MBOAT1,0.714293974,1.2090664,FOXK2,0.477392723,0.53022623
PLXNC1,0.848398179,-0.34186786,B3GALT2,0.672147187,-2.8718412,CD151,0.855128149,-0.02227639,GPAT4,0.853723282,-0.09556393,HAUS2,0.585442963,-1.8671826,CUEDC1,0.941797823,-22.304768,CLDN10,0.943760096,-22.508795,SSTR2,0.71431479,2.0488954,ANAPC1,0.477444614,0.020690246
CCDC65,0.848374097,-0.61876565,SLC9A3R1,0.671912041,0.07262187,MARCO,0.855083438,-0.82126397,LRPPRC,0.853691274,-0.04731623,C7orf26,0.585395055,-0.77301604,LKAAEAR1,0.941797823,-22.5356,EFNA3,0.943760096,-22.551445,SNX24,0.714335607,1.252413,KMT2B,0.477444614,0.60401857
FRAT1,0.848325934,-2.1846604,CSTA,0.671899666,-3.1029239,SCRN3,0.855083438,-0.7243768,TOP2B,0.853659267,-0.05504644,BOP1,0.585283275,-0.88592595,KISS1R,0.941797823,-22.266327,PTPRD,0.943760096,-22.44772,ATP8B3,0.714335607,0.8773364,ALOX5AP,0.477678163,0.2278871
AGAP5,0.848301853,-2.38077,UNC119,0.67186254,-0.12976895,FBXO45,0.855053631,-0.6786451,VEZT,0.853643263,0.002168358,ITPR1,0.585267307,-0.6054565,GRAMD1C,0.941797823,-22.19777,ENPP2,0.943760096,-22.483854,FOXN2,0.714356423,0.009030509,ODF3B,0.478275294,0.6037197
CXCR2,0.848301853,-2.322872,ACP6,0.6716893,-0.86721265,TRMT12,0.854964212,-0.77464926,TTC9,0.85362726,-0.5882393,B3GNTL1,0.585203439,-1.2882385,MEX3D,0.941797823,-22.291048,COX4I2,0.943760096,-22.43893,SULT1B1,0.714439692,2.0283387,PRKCQ,0.478379185,-0.09543618
DAB2IP,0.848277772,-2.4222002,RBM45,0.671676927,-0.82710415,ZNF668,0.854919502,-0.3455803,STAM2,0.853611256,-0.33751038,PPP1R35,0.585011851,-1.0380081,HCRT,0.941797823,-22.291561,P4HA3,0.943760096,-22.511335,ZNF385D,0.714439692,2.0585084,YJEFN3,0.478379185,1.776517
TAS2R14,0.848277772,-2.3120494,STX18,0.671491333,-0.23653015,ZNF684,0.854725768,-0.8153028,PCGF3,0.853451225,-0.33534825,MSMO1,0.58478837,-0.50549453,TWIST2,0.941797823,-22.11774,RNFT2,0.943760096,-22.35352,NBPF11,0.714543782,1.3639001,PTPN4,0.478379185,-0.4408137
ADGRE2,0.848253691,-2.3960452,RICTOR,0.671417101,0.0433689,IFFO2,0.854546944,-0.8789565,NCBP1,0.853387214,-0.12066884,ACAA1,0.584660684,-0.15036748,LRRC75B,0.941797823,-22.434738,MTRNR2L3,0.943760096,-22.367685,RABEP2,0.714856084,0.2599894,VSIG4,0.47879487,2.5857382
FMOD,0.848181449,-0.6783769,METTL7A,0.671392358,-0.86047685,RAD50,0.854457535,-0.01925606,MCM8,0.853371212,-0.5292324,RGP1,0.584612805,-0.39227828,SLC6A8,0.941797823,-22.388317,IQCC,0.943760096,-21.937956,LLGL1,0.714981019,0.56658584,RASA3,0.479158756,0.1190561
INMT,0.848181449,-2.340003,PISD,0.671157315,-0.3423509,MINPP1,0.854427733,-0.2987837,RAB2B,0.853339207,-0.2775047,PIAS2,0.58446918,-0.7572808,POPDC2,0.941797823,-22.335152,ABO,0.943760096,-22.421478,IPO13,0.715105961,0.696267,OTUD6B,0.479236751,0.8823607
PDLIM7,0.848145329,-0.121178634,PUS3,0.671157315,-0.43968132,SBDS,0.85439793,0.008295876,VMAC,0.853195187,-0.35165802,SMYD4,0.584389395,-0.98793995,TTC30B,0.941797823,-22.275833,TUSC1,0.943760096,-22.324814,KATNBL1,0.715355868,-0.14938596,PYCR1,0.479262751,1.1415789
PDSS1,0.848133289,-0.5872385,CALCOCO1,0.671157315,-0.13569333,CDC123,0.854278723,-0.03718681,S100A7,0.85300317,-23.202559,AP2A1,0.584357482,-0.18783852,BBS1,0.941797823,-22.371439,MID2,0.943760096,-22.555994,PAK4,0.715709955,0.47811714,FAM217B,0.479314754,-0.3641749
ZKSCAN4,0.848109209,-0.6036821,PARP9,0.67104599,0.09885207,CCHCR1,0.854234021,-0.47026163,ZNF768,0.85300317,-23.616095,E2F6,0.584213886,-25.344252,ALDH3B1,0.941797823,-22.404734,CCDC120,0.943760096,-22.559042,USP48,0.715793278,-0.102513455,HIRA,0.479366759,1.698858
CACYBP,0.848061049,0.027390845,MICA,0.671021252,-0.38710836,CCDC9,0.854055217,-0.28695577,ZNF182,0.85300317,-23.564447,AKAP5,0.584213886,-25.329027,FTCDNL1,0.941797823,-22.169504,THNSL2,0.943760096,-22.45177,FCGBP,0.716064103,0.6866011,LAPTM5,0.479392763,0.5241445
RIN2,0.848036969,-0.8331584,MAPK1,0.67094704,0.040197197,WDR73,0.854025418,-0.018832758,TTC4,0.85300317,-23.50857,SLC16A4,0.584213886,-25.275457,UGGT2,0.941797823,-22.291107,CALY,0.943760096,-22.596796,ZNF414,0.716126606,0.51154,ZCCHC4,0.479574811,1.6566197
AP1AR,0.84801289,-0.67031676,GLMP,0.670922304,-0.2524551,DMTN,0.853861522,-0.5194025,DARS2,0.85300317,-23.268953,AP2A2,0.583990546,-0.2268853,MRGPRF,0.941797823,-22.468037,NPNT,0.943760096,-22.425308,CCDC43,0.716418312,0.118368,R3HDM2,0.479834945,-0.16286688
ATXN7L3,0.847856376,-0.3709324,EIF2B3,0.670848096,-0.21538273,PTPN9,0.853340079,-0.2758935,HSPB2,0.85300317,-23.417645,ASXL1,0.583990546,-0.4674827,BNIPL,0.941797823,-22.486603,RNF217,0.943760096,-22.35172,ZNF124,0.716605859,0.7069923,ZNF586,0.479965041,0.70955807
NLRX1,0.847844337,-0.6613585,UBXN6,0.67078626,-0.08178868,SAAL1,0.853265593,-0.13895413,ZGRF1,0.85300317,-23.485617,DHX9,0.583623717,-0.06152255,ME3,0.941797823,-22.254045,RGS13,0.943760096,-22.438902,ANKRD27,0.716626699,0.4885295,NSUN3,0.480121182,0.6112543
NUP214,0.847735986,-0.13071571,TTI1,0.67078626,-0.94911665,MTHFD1,0.853206004,0.04341994,XRCC2,0.85300317,-22.98487,DNAJC4,0.583033827,0.045842938,ENPP2,0.941797823,-22.49186,HSF4,0.943760096,-22.340454,LONP2,0.716960162,-0.11562872,PIKFYVE,0.480199263,0.2614898
RAF1,0.847723947,0.034997825,AKT1S1,0.670687325,-0.4798425,SSR1,0.85317621,-0.017419776,MET,0.85300317,-23.369184,MAP2K6,0.582938195,-2.25143,MYCBPAP,0.941797823,-22.441177,RHOV,0.943760096,-21.997522,UTP20,0.717293679,0.24281451,C20orf194,0.48025132,1.0326151
HOXB7,0.847579483,-0.77178776,MAP3K3,0.670600762,-0.56691355,SH2B1,0.853161314,-0.13459529,SLC9A3R2,0.85300317,-23.527243,TMEM115,0.581727495,-0.9482323,SNX15,0.941797823,-22.308775,BBS1,0.943760096,-22.363436,EIF4G3,0.717293679,0.16791157,JMY,0.480355445,0.059155457
TMEM67,0.847435024,-0.8073501,ADCK5,0.670501838,-1.0923531,AP1B1,0.85313152,-0.06272002,ARL6,0.85300317,-23.511759,RDH5,0.581536439,-1.7689466,ADM2,0.941797823,-22.315996,TMEM238,0.943760096,-22.240234,RFC3,0.717648099,0.91888255,FLCN,0.480485618,0.64547884
IMMP1L,0.847422986,0.042264406,ACSL3,0.670279281,-0.25144356,CEPT1,0.852908075,-0.16061507,PPIP5K1,0.85300317,-23.390335,PTPN11,0.581456841,-0.9766397,LRRC3,0.941797823,-22.490503,NUP62CL,0.943760096,-22.500008,PIF1,0.717731501,0.32973704,PDCD4,0.480485618,-0.20640928
IGF1R,0.847410948,-0.90328497,PSMG4,0.670217464,0.056877863,FBXL16,0.852908075,-0.8848744,FAM110B,0.85300317,-23.303568,LYRM7,0.581345412,-0.52771884,EVPL,0.941797823,-22.318565,PTPRU,0.943760096,-22.39044,TRAPPC13,0.718065143,0.38683078,SBNO2,0.480876252,1.248878
ZNF776,0.847386872,-0.8843885,LENG1,0.6701062,-0.038217932,FAM98B,0.8528187,-0.016841227,CLEC10A,0.85300317,-23.605442,SLC41A3,0.581218078,-0.6019797,CLIC2,0.941797823,-22.587332,SNX15,0.943760096,-22.300774,YBX3,0.718419696,-0.059848845,SP4,0.48142343,0.15112446
ZCCHC18,0.847362797,-0.81834286,GLCCI1,0.670081476,-0.18143843,EPOR,0.852788909,-0.39503157,ANGEL1,0.85300317,-23.606785,NR4A2,0.5811385,-0.09028132,COL27A1,0.941779003,-0.9614732,BEND5,0.943760096,-22.451628,WASL,0.718586565,0.122941226,UBE3B,0.481605898,1.0307504
ZFAND4,0.847362797,-0.8662237,PDLIM7,0.670056752,-0.25262687,PSPH,0.852759118,-0.685808,TBC1D7,0.852971167,-0.1267703,BLMH,0.581122585,-0.36445013,PIGF,0.941760182,-0.06610747,SECTM1,0.943760096,-22.302816,NCBP3,0.718670005,-0.030862974,HOXB3,0.481814479,1.9100717
FCRL3,0.847338721,-0.30069637,PICALM,0.67004439,0.023880282,NDUFAF5,0.852699537,-0.35954526,SLC9B2,0.852939165,-0.67674553,MSRB1,0.580836152,-0.5961244,PTN,0.941722541,-0.6906703,POPDC2,0.943760096,-22.32715,ATAD3B,0.718690865,0.2555452,EEPD1,0.481866632,1.5710688
ASCC3,0.847314646,0.049358934,ZDHHC21,0.66995786,-0.3048281,MAP3K14,0.852699537,-0.30916682,PTRH2,0.852907164,-0.15290968,CORO7,0.580677051,-0.17225352,AHDC1,0.941703721,-0.27984327,C11orf95,0.943760096,-22.43148,ASNS,0.718899482,0.14468259,RGP1,0.482023109,0.23766112
ELP3,0.84724242,-0.06090917,DHRS13,0.669908416,-1.1897233,C2,0.852699537,-0.9130058,FGFRL1,0.852827161,-0.82285035,ARHGAP35,0.580661142,-0.52803844,UROD,0.94160962,0.05563639,E2F8,0.943760096,-21.498945,RNLS,0.718982934,2.2136493,CCDC71L,0.482127443,1.4617158
UBXN11,0.847218346,0.019278346,CCNT2,0.669821892,-0.29935804,FAM221A,0.852669747,-0.4815906,SARM1,0.85279516,-0.7872604,EDEM1,0.580645233,-0.39488488,PPRC1,0.9415908,-0.52589905,MPV17L,0.943760096,-22.401596,FAM83G,0.719191579,2.3685036,FER,0.482231788,1.7304486
ELF4,0.847025752,-0.4362628,CDADC1,0.669797172,-0.6464159,PUM3,0.852580377,0.022400524,ZNF771,0.852763159,-0.6846853,DGCR2,0.580374815,-0.6998986,ZNF180,0.94147788,-0.45792356,GRAMD1C,0.943760096,-22.18977,MAP2K4,0.719191579,0.32217008,IRF2BPL,0.482362238,-0.020241715
TAF2,0.846712807,-0.030894712,B3GALT4,0.669772452,-0.08235527,EXOSC5,0.85249101,-0.13660833,PIGM,0.852715159,-0.43758413,KIR3DL2,0.580072653,-1.9883015,EXOSC3,0.94142142,0.037334416,ANKRD33B,0.943760096,-22.48121,TMEM143,0.719316777,1.0650109,SCD5,0.482440517,0.9604148
STIM2,0.846652629,0.034136344,ABCC1,0.669488199,-1.3211504,TSPAN31,0.85238675,-0.069656946,STK11,0.85258716,-0.42441714,RABL6,0.58002495,-0.7187777,RNF13,0.941252043,0.03544282,PAK6,0.943760096,-22.380932,CCDC3,0.719316777,1.7989177,IKZF2,0.482701496,0.526474
MYO1G,0.846363782,0.024269478,TMED1,0.669414054,-0.20932046,ENY2,0.852356961,0.015202243,RLN2,0.852571161,-0.73211664,PGRMC1,0.579722874,-0.21148978,DNAJC17,0.941063849,-0.016326627,KLHL14,0.943760096,-22.541254,GOLGA8Q,0.719441982,2.077302,AGO4,0.483014773,0.46107805
PITPNM1,0.846327678,-0.09974535,FAHD1,0.669302842,-0.61837673,GPRASP1,0.852342067,-1.1229101,LSS,0.852571161,-0.80987114,HGSNAT,0.579675184,-0.56543076,RNASEH1,0.941026211,0.02289936,CDC25C,0.943760096,-21.549738,SIRPA,0.719483718,2.0359545,PIP4K2C,0.483119223,0.8004169
RAB29,0.846267505,0.015150386,CERS4,0.669241061,-0.22792763,PKIA,0.85231228,-1.0985143,PIGP,0.852507163,-0.06424611,UBIAD1,0.579532126,-0.8076953,NAPRT,0.94085684,0.06453558,MAPT,0.943760096,-22.60996,SLC19A1,0.719650673,0.7128904,STRADB,0.483119223,0.41300976
NQO1,0.846267505,-0.133147,ZNF143,0.669018668,-0.34178185,PGAP1,0.85231228,-0.5170919,ZNF773,0.852507163,-0.820708,ARL4A,0.579134831,-0.14458045,SREK1,0.940725109,-0.03705212,HCRT,0.943760096,-22.283562,EXOSC10,0.719692414,0.0353702,ANKRD46,0.483223685,-0.117188044
LAMB2,0.846171229,-0.30927384,TELO2,0.668845715,-0.5968006,PAQR8,0.852267598,-0.20115753,HSPG2,0.852491164,-0.40727904,SMG9,0.579055387,-1.2982124,TCEAL8,0.940631016,0.003679484,POLQ,0.943760096,-21.276241,CD302,0.719775898,0.9948405,ZFP14,0.48330204,0.001390231
POT1,0.846123093,-0.3280089,ZNF586,0.668734541,-0.61015904,TMEM143,0.852252705,-1.0132965,NME3,0.852427168,0.027435696,TACO1,0.578928288,-0.71379083,UHMK1,0.940405197,-0.03725131,KCNQ5,0.943760096,-22.363867,NBPF9,0.719859385,1.1560918,LAX1,0.484085967,-0.23592667
HMGXB3,0.846074956,-0.020134464,ZBTB43,0.668351662,-0.10501078,JUP,0.852222918,-1.1487392,ATG10,0.852363173,-0.27174234,DIAPH2,0.578928288,-1.4364175,BCL2L13,0.940273471,-0.037442196,TEAD1,0.943760096,-22.643673,RIPK3,0.720151618,0.23518299,TMEM190,0.484268982,1.5497367
ARHGAP12,0.846014787,-0.29316303,TMEM237,0.668339312,-1.8015648,PLCXD1,0.852133557,-1.0861914,MRPL2,0.852139197,0.013291877,SCAMP1,0.578674129,-0.72081167,CAPN7,0.940217018,-0.051611185,ST6GALNAC5,0.943760096,-22.509617,SRSF2,0.720172493,0.13144137,DUSP14,0.484347429,0.8676124
DYRK4,0.845906484,-0.06360381,AKT3,0.668228171,-0.4358377,EFNB1,0.852014414,-1.2661401,SMG5,0.852091203,-0.44827056,SRM,0.578610597,-0.9955725,KRT86,0.940217018,-0.3497873,MYOM1,0.943760096,-22.34699,KDM3A,0.720297749,0.16261695,PANX1,0.484687444,1.4313809
LTBP2,0.845605659,-0.67124707,SFR1,0.668203474,-0.6294491,LSG1,0.851954843,-0.12137482,TTI2,0.851899236,-0.47082886,LIMA1,0.578245354,-0.23516999,PRPF40A,0.9401982,-0.017106943,SLC6A8,0.943760096,-22.380314,USP21,0.720318626,0.7119673,FBXO46,0.48479209,1.8090663
RHOBTB1,0.845545496,-23.279768,FBXL8,0.668129385,-2.002342,PROSER1,0.851925058,-0.2990741,FAM160A2,0.85146734,-0.06736137,AZI2,0.578229476,-0.3529009,C18orf21,0.94012293,-0.023486024,APLP1,0.943760096,-22.483517,RGCC,0.720339503,-0.32051206,POLR3A,0.484922915,0.7258474
LGALS9B,0.845545496,-23.149769,ZNF761,0.668079994,-1.9912549,TDP2,0.851925058,-0.048680525,LHPP,0.85137137,-0.2725679,NPM3,0.578134215,-0.28201592,ME2,0.940085295,0.00249061,SPATA18,0.943760096,-22.53692,SLC35F2,0.720652683,0.4746951,SELENBP1,0.485106102,1.5505676
ALDH1A2,0.845545496,-23.270443,PDE6D,0.668079994,-0.17827597,SETD1B,0.851835704,-0.22065496,USP9X,0.851179435,0.000283789,MRPL19,0.57773737,-0.17342362,SASS6,0.940010025,0.07334662,VWDE,0.943760096,-22.355888,CPSF7,0.720945026,-0.124163754,METTL2A,0.485498771,0.3111118
ADGRG3,0.845545496,-23.036211,TMEM50B,0.667820714,0.013987317,POLH,0.851746352,-0.5559699,COPRS,0.851019496,0.04459956,KLHL20,0.577467589,-0.5182907,BCCIP,0.939821853,0.10154402,STRIP2,0.943760096,-21.667871,WWC3,0.721049444,0.3263431,DCP1A,0.485891613,-0.28725633
ABCA10,0.845545496,-23.258465,TESC,0.667746642,-0.019659065,ZNF583,0.851597436,-0.3619825,DAG1,0.850763606,-0.56052226,KMT5B,0.577261326,-0.32019445,CGRRF1,0.939784219,-0.020221448,MAPK8IP1,0.943760096,-22.471203,RINT1,0.721091213,0.4376906,TRIM5,0.485917808,0.58159566
COL2A1,0.845545496,-23.06007,COQ6,0.667709607,-0.30282527,MED14,0.851493199,-0.09336941,GCSAM,0.850763606,-0.5530087,TLK2,0.577086822,-2.5212567,RARRES1,0.939746586,-0.32405674,BBS5,0.943760096,-22.32731,HLA-G,0.72136273,0.632082,PAX8,0.485996399,1.098396
PROK2,0.845545496,-23.000069,ELMO2,0.667635539,-0.46376044,SNCG,0.851448526,-0.25668323,NIPBL,0.850699636,-0.004402151,MED17,0.577007511,-0.2565046,CPSF3,0.939708952,-0.010900175,ADGRF5,0.943760096,-22.458132,SACM1L,0.721508946,-0.15031245,DNAJB4,0.486232214,0.44213998
MYO15B,0.845545496,-22.972876,ZNF211,0.667623195,-0.8400556,ZNF701,0.851433635,-0.17352158,AGER,0.850667652,-1.4666679,SLC35E3,0.576991649,-0.5453106,ARL8A,0.939614868,-0.03547113,IL17A,0.943760096,-22.940687,HMGCR,0.721571613,0.42972165,CCNT1,0.486651593,0.23602813
TIE1,0.845545496,-23.110258,GLMN,0.667573819,-0.14575306,TPP2,0.851433635,-0.04122713,SNTA1,0.850667652,-1.1897576,SPEN,0.576975788,-0.37293133,COG6,0.93929499,0.053093746,VSIG10L,0.943760096,-22.266245,SLC48A1,0.721655173,0.33720395,CHFR,0.487097398,0.28607672
ANGPTL1,0.845545496,-23.18118,IL2RG,0.667536788,-0.1543801,GBE1,0.851388963,-0.07574447,WDR7,0.850635668,-0.5484336,RNGTT,0.576753749,-1.012531,ITPK1,0.939257358,-0.04110877,FUT2,0.943760096,-22.403584,PGBD2,0.721843193,0.34254208,LCOR,0.487490938,0.029912949
PODXL2,0.845545496,-23.21149,NPM3,0.667438042,0.015633844,NCR3,0.851359182,-0.034444164,SCGB3A1,0.850635668,-1.4373742,UBR3,0.576040325,-2.8907802,GGA3,0.9390692,-0.06638032,MCTP1,0.943760096,-22.733685,ELL,0.721864085,0.1748601,ALKBH8,0.487595911,1.715449
CLDND2,0.845485335,-0.70422244,MTR,0.667388671,-0.3031482,SLC30A5,0.851061384,-0.03689517,FSD1L,0.8505717,-1.3884338,ATP6V1A,0.575945234,-0.7197947,PXMP4,0.938542375,-0.00540095,OLR1,0.943760096,-22.435349,PRPF3,0.721926763,-0.017017247,UHRF1BP1L,0.487832145,1.4825814
MTOR,0.84546127,-0.19558285,MED13,0.667314617,-0.28404155,AURKA,0.850867826,0.024181308,MYO7A,0.8505717,-1.4653983,PROSER3,0.575913538,-0.9953397,ANG,0.938485931,-0.03905762,PTPN21,0.943760096,-22.58026,GPR137,0.722281972,0.4106817,SLC19A2,0.487989668,1.0850545
RAI1,0.845268761,-0.7115575,DDX1,0.667191202,0.057451364,IDNK,0.850376528,-0.29823595,F5,0.8505717,-1.5176085,ENTPD1,0.575786764,-0.58421546,CDKN2AIP,0.938278972,-0.12264873,CDO1,0.943760096,-22.095877,RAB27B,0.722323765,0.517616,ENTPD5,0.488042182,1.1965466
PEG10,0.845244698,-0.84403735,CLDN4,0.667141838,-0.33373553,POLR3D,0.850361641,-0.18094939,SCFD2,0.850539716,-1.370203,MTG1,0.575770918,-1.769305,UBE2Q1,0.938147273,-0.09821738,GCLC,0.943721347,-0.39057952,ANKRD36C,0.722490946,-0.109558925,QPRT,0.488199742,0.8510392
CERCAM,0.845124385,-0.49460834,SLC25A40,0.667129497,-0.7703276,PIGC,0.850272321,-0.04284402,ZNF615,0.850539716,-1.6143112,TFDP1,0.575723382,-1.0226027,ATAD3B,0.937865068,-0.09120404,OTUD6B,0.943701973,-0.25798434,NCAPG2,0.722699941,0.8853814,ZNF583,0.488462403,0.8168733
ZNF816,0.844931891,-0.8769178,ASH2L,0.667117157,-0.13537073,CCDC22,0.850257434,-0.18678795,ZNF778,0.850347819,-1.7567387,CSTF1,0.575660003,-0.74642235,EDEM2,0.937846254,0.036048032,FOXJ2,0.943624476,-0.17369112,IL2RG,0.722699941,0.37682736,DDX10,0.488777697,0.34006524
PIGQ,0.8448958,-0.11519083,FRMD8,0.667043115,-0.23957312,HACD3,0.850242548,-0.037938517,ETV5,0.850283856,-1.6733177,WDR44,0.575422362,-1.6187685,GPAT4,0.937771001,-0.074611984,OLFML3,0.94339199,-0.28771225,GPATCH11,0.722699941,0.35645083,C9orf72,0.488830257,0.41313112
LRP10,0.844787527,0.036604486,IZUMO4,0.666969077,-24.413895,ZNF346,0.850183002,-0.33045018,TAF1,0.850283856,-0.001449691,RNPC3,0.575232282,-1.0769202,MIS12,0.937639309,-0.2364347,DPY30,0.943372617,-0.027739136,MAPK13,0.722867152,-0.013833198,TARBP1,0.489198259,0.22963843
USP37,0.844775497,-0.28111228,DHX37,0.666969077,-24.433279,SKP1,0.849810863,-0.011997865,ORMDL1,0.850251875,0.011926307,SLC20A1,0.575105579,-0.07982606,TP53INP1,0.937601683,-0.13674828,ZBTB14,0.943333869,-0.130785,AFF1,0.72292986,0.079764105,IFFO2,0.48930343,1.3279306
LRSAM1,0.844751437,-0.49827334,MYBL2,0.666969077,-23.554237,C16orf74,0.849691785,-1.6436372,NAA16,0.850251875,-0.17407554,GLS,0.574868046,-0.12855473,KLF9,0.937526431,-0.08882509,TICAM1,0.943198255,-0.29329515,DBP,0.723076185,0.38583946,FCRL6,0.489513809,-0.093939155
PGM3,0.844691287,-0.29357216,UBQLN2,0.66691972,-0.039392527,FZD6,0.849691785,-1.7037787,RCN3,0.850251875,-1.8188027,ALDH3A2,0.574820545,-1.7407849,TIMP2,0.937375929,-0.20820856,RNF216,0.94304327,-0.03355771,C12orf43,0.72322252,0.20495544,PIGB,0.490276839,1.0220011
TBC1D22B,0.84460708,-0.4154824,GALNT6,0.666759319,-0.37247685,MYLPF,0.849662016,-1.7066232,BCL9,0.850155932,-1.8055693,OSBPL11,0.574757214,-1.9041024,RAD51AP1,0.937300679,0.041660193,RTN4IP1,0.942985151,-0.20516723,TPK1,0.723285238,0.3963342,SLX4IP,0.49035581,1.5971332
CRNKL1,0.844486786,-0.11820882,THOP1,0.666709968,-0.787391,SLC25A30,0.849662016,-1.5978668,DYNC1H1,0.850155932,0.019381057,VGLL4,0.574678053,-0.39839742,TBCCD1,0.937187806,-0.07665011,BUB1B,0.942946405,-0.25233877,NELFA,0.723577947,0.112917125,TMEM135,0.490408461,1.4162252
