Fairfax_response_down_responder	Fairfax_response_up_Non_responder
PTRHD1	MINDY2
HAUS8	RNF103
ATP6V0E2	LCORL
C19orf48	BIVM
CHCHD6	MMGT1
TMEM177	ITGAV
TIMM13	APOOL
SELPLG	CAPZA2
NDUFA1	PHF6
SDF2L1	NUTM2B-AS1
ZMAT5	LACTB2
PBXIP1	ZNF267
RPS19BP1	AL512770.1
RCC1L	SULT1A1
PAFAH1B3	BET1
SELENOW	GXYLT1
CCDC51	ARL5A
MLST8	TMEM165
CCDC9	BMT2
NOB1	TRIM33
EIF4BP7	ZNF107
ZNF414	ARMC1
RGS3	YTHDC2
AMBRA1	VPS13A
UBB	SPAG5-AS1
SLC3A2	PLSCR1
NSDHL	TRIM59
PPP1R16B	KLHL2
KLHDC7B	ARMCX3
CYB5R3	AC007382.1
FN3KRP	CFAP44
LINC00921	NPIPB3
ZDHHC12	PIAS2
ZNF71	DGUOK-AS1
DBI	MAP4K3
REXO4	EBPL
TBC1D17	POLR2J4
TERF2IP	ZNF121
RUNDC1	ATP6V1A
GTF2F1	AC068888.1
HDDC3	STT3B
PSMG3-AS1	TRDMT1
CHST14	RNF24
ADAM8	PPM1K
BUD13	AL669831.1
PLEKHJ1	AC084337.1
MICOS13	GPRIN3
KMT5C	ZFC3H1
LASP1	TRAPPC12-AS1
CYC1	TMEM65
MEN1	WDR36
ZNF444	CARNMT1
CELSR2	PCMTD1
DPP3	SMAD5
C19orf47	LEPR
THOP1	BNIP3L
RRAGA	ZNF708
KLF16	RAB18
FARS2	SDHD
AHSA1	TTC39B
BCL2L1	FNDC3A
ACADS	CCSAP
EDF1	UBA3
NABP2	TVP23A
NA	DTWD1
HIGD2A	UBE2B
TMEM147	SKIL
MICALL1	HLA-F-AS1
EEF2KMT	ARL15
EBNA1BP2	AC093726.1
BOP1	LYRM7
WDR1	HIGD1A
CAPZB	RFK
R3HCC1	RRM2B
CCT7	AF117829.1
TSTD1	DICER1
SART1	CTBP1-AS
C12orf10	SVIP
IP6K1	ARL8B
TSR2	IMPA1
FKBP8	GM2A
STN1	CD200R1
FUZ	CBWD5
FUOM	TCF7L1
TFIP11	AC078883.1
AC244669.1	SPTSSA
STIP1	PHC3
USF2	AL157392.3
TECR	SGPP1
PDRG1	TSPAN3
SPSB2	POU2F1
RAB1B	ZBED5
RASAL3	RBM26
GOT1	AC096677.1
ASL	FEZ2
FBXW5	SNHG4
SLC35C1	AC015849.3
POLD1	ZFYVE16
IL2RG	SPEF2
BCL7B	KIAA1586
TMEM161A	HOOK3
STX8	MMS22L
ABHD11	KLHL28
SASH3	MFSD8
MRPL37	LINC00672
C15orf61	ZNF546
EIF6	BRMS1L
ALG1	DGKE
TPRA1	NA
EEFSEC	SLC25A24
CHRNB1	FAM199X
CHMP1A	SNHG14
RNF26	NA
HCST	HSD17B11
TTLL1	AC093010.2
ARMC6	TNPO1
MRPL48	IFNAR1
CDK5	MIS18BP1
BRMS1	CBFB
SAMD1	AC245100.4
PSMB6	DARS-AS1
PRR13P5	GRPEL2
RNF181	NUDT13
DDX49	AL596202.1
RPUSD1	NAPG
HELZ2	DDHD1
DTYMK	SCAI
SUN2	ABHD5
FRMD8	COMMD10
